DATE,TIME,N,P,K,ph,temperature,humidity,Conductivity
3/6/2020,13:36:52,20,28,57,6.33,31,11.9,287
3/6/2020,13:37:22,20,28,57,6.35,31,12.2,284
3/6/2020,13:37:52,20,28,57,6.35,31,12.3,287
3/6/2020,13:38:22,20,28,57,6.38,31,12.4,288
3/6/2020,13:38:52,20,28,57,6.4,30.6,12.4,289
3/6/2020,13:39:22,0,0,0,7,31,0,0
3/6/2020,13:39:52,0,0,0,7,31.4,0,0
5/19/2022,12:39:51,0,0,0,7,36.2,0.3,0
5/19/2022,12:40:21,40,56,113,6.4,36.2,87.9,566
5/19/2022,12:40:51,40,56,113,6.22,35.8,87.5,566
5/19/2022,12:41:22,40,56,113,6.2,35.4,88.5,565
5/19/2022,12:41:52,40,56,113,6.2,35.4,89,566
